Station,Dataset,Type,Model,Location_Intercept,Location_SE_Intercept,Location_Slope,Location_SE_Slope,Scale_Intercept,Scale_SE_Intercept,Scale_Slope,Scale_SE_Slope,Shape,Shape_SE,Trend_lr_pval,Shape_lr_pval,First_Observation_Date,Last_Observation_Date,Elapsed_Years,Significant_Trend,Significant_Shape
Avasjö-Borgafjäll D,Original,GEV,Stationary,29.621850230575234,1.0370245965431906,NA,NA,7.263765574013516,0.7750636897247807,NA,NA,-0.003915102871560355,0.11515769932665848,NA,0.8178374048997675,1957-10-01,2024-09-30,66.99794661190965,NA,FALSE
Avasjö-Borgafjäll D,Original,Gumbel,Stationary,29.606623352716717,0.9334279111350167,NA,NA,7.252916957908927,0.7043591302051261,NA,NA,NA,NA,NA,NA,1957-10-01,2024-09-30,66.99794661190965,NA,NA
Avasjö-Borgafjäll D,Original,GEV,Multiplicative (mu),26.824165827251313,1.8122632216527712,0.08206620585071651,0.0452388599503055,6.976387893676503,0.7565442851307111,NA,NA,0.02691834711605558,0.11844057890060379,0.07688347039387902,0.9205687927957371,1957-10-01,2024-09-30,66.99794661190965,FALSE,FALSE
Avasjö-Borgafjäll D,Original,Gumbel,Multiplicative (mu),26.919979492940733,1.7999547335107002,0.08224187298135363,0.046243312583476415,7.052423854789067,0.6888297238393523,NA,NA,NA,NA,0.07937355139631401,NA,1957-10-01,2024-09-30,66.99794661190965,FALSE,NA
Avasjö-Borgafjäll D,Original,GEV,Multiplicative (sigma),29.70372222253471,1.0439025786008505,NA,NA,2.0577420420162555,0.18477139511612553,-0.0025018545075678428,0.004913150409687527,0.012242365395488453,0.12352986154711731,0.6110870732669268,0.8276846398262685,1957-10-01,2024-09-30,66.99794661190965,FALSE,FALSE
Avasjö-Borgafjäll D,Original,Gumbel,Multiplicative (sigma),29.743913886435706,0.9672965142255131,NA,NA,2.0581444177447987,0.18456390952720067,-0.002371351709905586,0.0047323773385830326,NA,NA,0.617213802394698,NA,1957-10-01,2024-09-30,66.99794661190965,FALSE,NA
Avasjö-Borgafjäll D,Original,GEV,Multiplicative (mu/sigma),26.8563269980033,1.8883062042291276,0.08124098845751813,0.04718176212729646,1.9536368438901235,0.2061902487159969,-3.1212250576105615e-4,0.004916778190000599,0.025777515444969666,0.11985268145942869,0.20871139608412365,NA,1957-10-01,2024-09-30,66.99794661190965,FALSE,NA
Avasjö-Borgafjäll D,Original,Gumbel,Multiplicative (mu/sigma),26.956397906386737,1.8516412792088028,0.08115875972759469,0.047574738437641415,1.9695235015917059,0.1913273058357317,-4.7359955246404603e-4,0.00480120140554607,NA,NA,0.21359189967416825,NA,1957-10-01,2024-09-30,66.99794661190965,FALSE,NA
Borås,Original,GEV,Stationary,34.397053105387926,1.1123986062499938,NA,NA,7.9094374013360955,0.7799860468073723,NA,NA,-0.0740381559522488,0.07984191362903113,NA,0.59602260556459,1962-10-01,2024-09-30,61.998631074606436,NA,FALSE
Borås,Original,Gumbel,Stationary,34.08445003992694,1.043800398022868,NA,NA,7.786768605886937,0.7495736745563574,NA,NA,NA,NA,NA,NA,1962-10-01,2024-09-30,61.998631074606436,NA,NA
Borås,Original,GEV,Multiplicative (mu),33.083421431775676,2.2233416128454078,0.0390640923722677,0.057137236222374835,7.763432298702583,0.7956954469145708,NA,NA,-0.05016882252734706,0.09069632819233715,0.5059140432104625,0.4114091607354046,1962-10-01,2024-09-30,61.998631074606436,FALSE,FALSE
Borås,Original,Gumbel,Multiplicative (mu),32.542768087428236,1.909167889358362,0.04959873234353938,0.05096155914990315,7.645886214009386,0.7510686697561035,NA,NA,NA,NA,0.3377224415846173,NA,1962-10-01,2024-09-30,61.998631074606436,FALSE,NA
Borås,Original,GEV,Multiplicative (sigma),34.48490226187998,1.037519150717618,NA,NA,2.3842776236857444,0.19061206830346855,-0.01155985165885971,0.005035170277796319,-0.08382248914827999,0.09588120813620443,0.02250389984643679,0.40108397902643167,1962-10-01,2024-09-30,61.998631074606436,TRUE,FALSE
