Station,Dataset,b0_Estimate,b0_SE,b1_Estimate,b1_SE,lr_pval,First_Observation_Date,Last_Observation_Date,Elapsed_Days,Significant
Avasjö-Borgafjäll D,Original,-5.709543270068931,0.202574107131835,2.7688730028757907e-5,1.3156330954260973e-5,0.03428006784280635,1957-07-01,2024-11-30,24624,TRUE
Borås,Original,-5.40090342121766,0.1934781701807636,6.5815890989181954e-6,1.4429714896521139e-5,0.6482165856751323,1962-07-01,2024-11-30,22798,FALSE
Finnbacka D,Original,-5.184491035599819,0.1858462525356299,-1.63008574235937e-5,1.4924479574807297e-5,0.2739219358078343,1962-12-26,2024-11-30,22620,FALSE
Gendalen,Original,-5.674436963004721,0.20762212318275788,2.949983933478301e-5,1.4642301048299226e-5,0.042769014984614606,1962-10-01,2024-11-30,22706,TRUE
Grönliden,Original,-5.8237227022373945,0.2060482022175946,3.515038317648049e-5,1.278420509746197e-5,0.005497572982967824,1955-11-13,2024-11-30,25220,TRUE
Hallstaberg,Original,-5.450948158971568,0.1911840842882123,1.0910165919054167e-5,1.3442787425182171e-5,0.41663661673915997,1959-08-01,2024-11-30,23863,FALSE
Hanö A,Original,-5.439798865699276,0.12936188553466882,3.959413682881902e-6,4.18009009745335e-6,0.34327554075985256,1881-11-01,2024-11-30,52259,FALSE
Heden,Original,-5.523317855518088,0.1985366641854972,1.802938438959972e-5,1.4310811329568436e-5,0.20676262796738076,1962-04-23,2024-11-30,22867,FALSE
Hyltan,Original,-5.667936403403655,0.19188392490290923,2.5414382568519914e-5,1.1636063638187388e-5,0.028067596201979406,1952-08-17,2024-11-30,26403,TRUE
Härnösand,Original,-5.796037853015408,0.1380936276426127,1.3867420649246743e-5,3.884636040059123e-6,3.2214229389848636e-4,1870-11-26,2024-11-30,56252,TRUE
Håvelund,Original,-5.809836302858276,0.19448079029204632,3.096487839429311e-5,1.0866441771121892e-5,0.004023829751206187,1948-02-06,2024-11-30,28057,TRUE
Höglekardalen,Original,-5.399619079154266,0.19625592913022644,2.5961963213965305e-7,1.480166495098462e-5,0.9860058484592857,1962-02-01,2024-11-30,22948,FALSE
Höljes,Original,-5.550228686567424,0.1898897504126397,1.4094551073319727e-5,1.2107149691219275e-5,0.24358455026253145,1953-10-04,2024-11-30,25990,FALSE
Jäckvik,Original,-5.557771293146669,0.17730273168031177,1.419390748441792e-5,9.859018266543053e-6,0.14905915509599654,1943-11-01,2024-11-30,29615,FALSE
Kilagården,Original,-5.743456975610771,0.20280915553412754,2.8610899527504206e-5,1.2841236132619197e-5,0.024934917635550446,1956-01-18,2024-11-30,25154,TRUE
Klippan,Original,-5.625821693619357,0.18434336244793728,1.5012238226988005e-5,1.037918711924839e-5,0.1471022359047477,1945-01-01,2024-11-30,29188,FALSE
Kristinehamn,Original,-5.619737173930174,0.20060634669267904,2.3147363668357612e-5,1.3684631500818534e-5,0.08953087903752333,1959-10-18,2024-11-30,23785,FALSE
Ljusnedal,Original,-5.368981223722776,0.15629505601310176,1.5734090048698576e-6,7.756040994752948e-6,0.8392366864246753,1930-01-01,2024-11-30,34667,FALSE
Lund,Original,-5.783134245781989,0.21060946629993899,3.688255757416351e-5,1.415490498552287e-5,0.00854801568626351,1961-01-01,2024-11-30,23344,TRUE
Mariestad,Original,-5.7965960235900065,0.20801330152523634,3.570089994856402e-5,1.3464732184823554e-5,0.007449178163122183,1958-08-01,2024-11-30,24228,TRUE
Mångsbodarna,Original,-5.709053203986652,0.19435899088628722,2.7829580829114518e-5,1.1724629285583293e-5,0.016871926513160718,1952-09-27,2024-11-30,26362,TRUE
