Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,29.804504134004294,NA,7.024890633149336,NA,0.017262939261115676,1.0277874329194807,NA,0.772437981088091,NA,0.11878606249058479,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Avasjö-Borgafjäll D,Exp model,27.702401559188097,0.06610552165279328,1.9092672796495918,7.241230001055126e-4,0.02491295811976676,1.8899079469004116,0.05071680559484344,0.21000645417412056,0.005327276068684772,0.11874764451205955,FALSE,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Avasjö-Borgafjäll D,Linear model,27.70277193034293,0.06609554114047034,6.746955178024892,0.004994189378873505,0.024938240921025052,1.8886611629961332,0.0506883893961804,1.4320175618370559,0.03678830717652873,0.11872974440613482,FALSE,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Finnbacka D,Stationary,27.81925752916842,NA,7.546894453993824,NA,0.11901230803400374,1.113260905916035,NA,0.8557877070876494,NA,0.11038091632697039,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Exp model,31.719535142419577,-0.12518837206351321,2.00309424630143,-0.0016214781178169326,0.1537318739058035,2.020419970832215,0.0549870149601674,0.22629356272779666,0.0068328167474348825,0.11427569807014716,TRUE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Linear model,31.740043235195134,-0.1259058177551461,7.4385929833489435,-0.012567740091298204,0.1543410420022179,2.0343155256329237,0.05550539318359874,1.6936127444804898,0.050332853534500545,0.11471720084318461,TRUE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Stationary,28.96728879871279,NA,7.465917638733929,NA,0.05173216842650064,1.131836186516593,NA,0.8684026014166863,NA,0.13333296362564553,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Gendalen,Exp model,25.94440844939017,0.09727842437428476,1.7968945560411111,0.005569445848009304,0.08198383071990217,1.901109654516525,0.05489856381072234,0.2773323028673817,0.006861017485458372,0.1379076523713282,FALSE,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Gendalen,Linear model,25.99801652869062,0.09609716479832353,6.0670726508711565,0.03725816337919259,0.07658695063562278,1.8826003060825125,0.054451165551792045,1.7259289555902326,0.045374174594664723,0.1335193590216411,FALSE,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Grönliden,Stationary,27.610091835597043,NA,7.4759173375623895,NA,0.12093890896185788,1.0579830792536304,NA,0.8065718121004117,NA,0.09788860792013242,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Grönliden,Exp model,28.135420674318045,-0.0185210025749021,1.9153921269276168,0.002503633166608272,0.14063953181091496,1.9467562366087734,0.05355225270855671,0.232427864586786,0.006028266326696967,0.104252235631842,FALSE,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Grönliden,Linear model,28.12418639996732,-0.018206189587179976,6.750466252448225,0.019136368853174247,0.14093413349779946,1.9431468824733469,0.05344414457803652,1.6671784175116857,0.045233250030121554,0.10422033175559933,FALSE,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Hallstaberg,Stationary,26.92780225783145,NA,7.917688412067568,NA,0.2705264069655919,1.112939785295848,NA,0.9175200528120743,NA,0.10323525487749886,NA,NA,NA,64.99931553730322,1959-10-01,2024-09-30
Hallstaberg,Exp model,27.226225948314404,-0.009453553788216636,2.233372885653678,-0.00533778308116842,0.2760808839680226,2.3140012826103535,0.05559155354619346,0.23227193569176052,0.0060810113347126975,0.10751753360378882,FALSE,TRUE,FALSE,64.99931553730322,1959-10-01,2024-09-30
Hallstaberg,Linear model,27.29336961151576,-0.011237329574776004,9.31955507826692,-0.043949833685409445,0.2751475594001731,2.3445662004086616,0.05615698603379522,2.0334987169762173,0.04920824081928156,0.10738766089950649,FALSE,TRUE,FALSE,64.99931553730322,1959-10-01,2024-09-30
Hanö A,Stationary,23.924846344673675,NA,7.854569198547192,NA,0.19347142067380654,0.7487326182723899,NA,0.592741879862753,NA,0.06965735914623951,NA,NA,NA,141.9958932238193,1882-10-01,2024-09-30
Hanö A,Exp model,23.506403150040022,0.0058675281543150975,2.0598616943482977,4.073324175294469e-6,0.19416731612875374,1.4302837604017984,0.017186611886417763,0.15067337950624748,0.0018265078775369953,0.0698228825060757,FALSE,TRUE,FALSE,141.9958932238193,1882-10-01,2024-09-30
Hanö A,Linear model,23.505960795725102,0.005873093468104495,7.8448496815203255,3.341058282949198e-5,0.19416093223242903,1.432040593365856,0.01718184352882998,1.2091804226345897,0.014854580099443073,0.06982616857816717,FALSE,TRUE,FALSE,141.9958932238193,1882-10-01,2024-09-30
Heden,Stationary,36.1918260479694,NA,8.568636623428281,NA,-0.05027689273381872,1.2481003249741565,NA,0.9105307953839057,NA,0.10800933260043365,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Heden,Exp model,33.68889509122347,0.08232967750639561,2.0834980941635877,0.0016147098873916695,-0.04663103056382521,2.244615174377351,0.06307025627778655,0.21132656466896377,0.005724789214146374,0.10469507162492692,FALSE,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Heden,Linear model,33.68846497774208,0.0823236256007912,8.00149119350876,0.014374736971422815,-0.04632153736076675,2.240901864896552,0.06300097744915646,1.7734628002326076,0.049492446630097255,0.1047668864166045,FALSE,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Hyltan,Stationary,26.47825405875716,NA,7.8150198384445,NA,0.13668083974393924,1.0423333518569968,NA,0.8022373989319851,NA,0.09462299645418894,NA,NA,NA,71.99726214921287,1952-10-01,2024-09-30
Hyltan,Exp model,23.39430378712262,0.09231606224210964,1.7773821878914229,0.007324147984857587,0.10543668436799486,1.723739200540731,0.04699964933549871,0.201048393337332,0.004854092244978784,0.09839016051413217,TRUE,FALSE,FALSE,71.99726214921287,1952-10-01,2024-09-30
Hyltan,Linear model,23.411207852090815,0.09188127330591853,5.843783041898646,0.05365620071409509,0.10738911825138968,1.7184064229560645,0.04657821918175,1.2916562423175506,0.03547392476436631,0.09859328392339546,TRUE,FALSE,FALSE,71.99726214921287,1952-10-01,2024-09-30
Härnösand,Stationary,37.62624406106157,NA,9.522862584648642,NA,-0.0024773437254771275,1.3590162009303348,NA,0.9979532722414602,NA,0.10212003568036748,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Härnösand,Exp model,34.207012037056685,0.11228203022529944,2.0778057734704265,0.0049924935495061305,-0.016149164442119106,2.3086650630200256,0.06664593136955402,0.19833761501634917,0.005281629215903483,0.10150839293383783,FALSE,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Härnösand,Linear model,34.17597649129903,0.11374596129787153,7.8019433421602935,0.05075337255654927,-0.018756476701340504,2.292420626478662,0.06671660314590738,1.7475440595352851,0.052686285278843684,0.1018355333970212,FALSE,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Håvelund,Stationary,31.681233465196566,NA,7.594663424437225,NA,-0.03602892402711816,0.9755002334190283,NA,0.7026501272026956,NA,0.07877854685092801,NA,NA,NA,75.99726214921287,1948-10-01,2024-09-30
Håvelund,Exp model,30.454306948462087,0.03452707582245342,1.9324409579808306,0.0025537999297983124,-0.05364417681170594,1.774412525857464,0.04208218093790798,0.1636940975975466,0.003766822328725376,0.08533926624778283,FALSE,FALSE,FALSE,75.99726214921287,1948-10-01,2024-09-30
Håvelund,Linear model,30.48027986508822,0.033670753552965234,6.943700329441927,0.01773916745953473,-0.05232140024794583,1.7707915198903463,0.04176116550180114,1.1549338742852082,0.027700858732439115,0.08474919216735219,FALSE,FALSE,FALSE,75.99726214921287,1948-10-01,2024-09-30
Höglekardalen,Stationary,41.426860046752516,NA,15.24924365879224,NA,-0.041956995741008654,2.2175185627302136,NA,1.6173527283992344,NA,0.1061631751498081,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Höglekardalen,Exp model,43.4992736271564,-0.0664076688303369,2.853864023350878,-0.004433874162563297,-0.035893054927005286,4.446220925981764,0.11373597055133218,0.18921129700548373,0.005310849816114005,0.10649313195253092,FALSE,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Höglekardalen,Linear model,43.487066848398854,-0.06578247969163947,17.2449126751091,-0.06653494117909853,-0.037682773956783336,4.443289728409235,0.11333140371608355,3.0848317944646353,0.07966531237696468,0.10578521705803898,FALSE,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Höljes,Stationary,27.591457927983168,NA,7.1164637944358375,NA,0.21523479236349602,0.9957280082573491,NA,0.7922930246287412,NA,0.09509444754706703,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
