Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,29.804504134004294,NA,7.024890633149336,NA,0.017262939261115676,1.0277874329194807,NA,0.772437981088091,NA,0.11878606249058479,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Avasjö-Borgafjäll D,Exp model,29.81039366119412,NA,1.955790498300742,-2.0668059656907183e-4,0.01795985754001581,1.0395839364679271,NA,0.20097547521276554,0.0054715077906386895,0.1204416231672555,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Avasjö-Borgafjäll D,Linear model,29.810431196397207,NA,7.069116030783503,-0.001440661931965692,0.01794464775577944,1.0398005763651414,NA,1.4135843483169082,0.038319344871847495,0.12042298741287599,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Finnbacka D,Stationary,27.81925752916842,NA,7.546894453993824,NA,0.11901230803400374,1.113260905916035,NA,0.8557877070876494,NA,0.11038091632697039,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Exp model,28.22571911064801,NA,1.8237555091181044,0.006148374825680112,0.13518298560807687,1.1646172954707077,NA,0.2212397418014714,0.00611589197074947,0.11728751285093257,NA,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Linear model,28.246048285402484,NA,6.037966941039701,0.04856219452720009,0.135284491754231,1.1640943661840015,NA,1.5057190178708721,0.04664858681418568,0.11756650528396975,NA,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Stationary,28.96728879871279,NA,7.465917638733929,NA,0.05173216842650064,1.131836186516593,NA,0.8684026014166863,NA,0.13333296362564553,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Gendalen,Exp model,28.941195856984834,NA,1.9981003046392705,3.634449734720418e-4,0.052861767330359404,1.1920681734588774,NA,0.21121147523080117,0.005240616552492515,0.13467522913277694,NA,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Gendalen,Linear model,28.94261142832409,NA,7.379504481132708,0.0025689556427126023,0.05278275383478278,1.1889475976280464,NA,1.5362471495389678,0.03806348200347049,0.13455628734024636,NA,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Grönliden,Stationary,27.610091835597043,NA,7.4759173375623895,NA,0.12093890896185788,1.0579830792536304,NA,0.8065718121004117,NA,0.09788860792013242,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Grönliden,Exp model,27.57695267902455,NA,1.883318828062578,0.003550775681832156,0.14143838726784502,1.043894753447473,NA,0.2135205570006333,0.005232214610720214,0.1040327291349209,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Grönliden,Linear model,27.576024008406094,NA,6.520570993552067,0.026897633453794433,0.14181784898928473,1.0435361277022734,NA,1.499702223557938,0.03920973831159023,0.1040061619741329,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Hallstaberg,Stationary,26.92780225783145,NA,7.917688412067568,NA,0.2705264069655919,1.112939785295848,NA,0.9175200528120743,NA,0.10323525487749886,NA,NA,NA,64.99931553730322,1959-10-01,2024-09-30
Hallstaberg,Exp model,26.88225790611366,NA,2.211281042963636,-0.004693403603796716,0.27671848416577977,1.099224281100419,NA,0.1925134198341113,0.0047672264005869875,0.10747715551833506,NA,TRUE,FALSE,64.99931553730322,1959-10-01,2024-09-30
Hallstaberg,Linear model,26.882774126564954,NA,9.09322075163641,-0.037682311025334696,0.2760316407411771,1.0982742119473403,NA,1.660147636770627,0.03790150279599765,0.10738538261776044,NA,TRUE,FALSE,64.99931553730322,1959-10-01,2024-09-30
Hanö A,Stationary,23.924846344673675,NA,7.854569198547192,NA,0.19347142067380654,0.7487326182723899,NA,0.592741879862753,NA,0.06965735914623951,NA,NA,NA,141.9958932238193,1882-10-01,2024-09-30
Hanö A,Exp model,23.927601260403176,NA,2.083071189831623,-3.146149163145539e-4,0.19420013324440655,0.7486858275927399,NA,0.13444146843833946,0.0015721331248495102,0.06984595173810056,NA,TRUE,FALSE,141.9958932238193,1882-10-01,2024-09-30
Hanö A,Linear model,23.92769975984406,NA,8.034745819654109,-0.002569584997586162,0.19422809930725074,0.7487309874612132,NA,1.0910081798855966,0.012784423542829118,0.06989554270764642,NA,TRUE,FALSE,141.9958932238193,1882-10-01,2024-09-30
Heden,Stationary,36.1918260479694,NA,8.568636623428281,NA,-0.05027689273381872,1.2481003249741565,NA,0.9105307953839057,NA,0.10800933260043365,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Heden,Exp model,36.15075829199346,NA,2.119296119508661,9.462858288262014e-4,-0.051832868376345466,1.2737326423022806,NA,0.2100823374871033,0.005973316332033001,0.10743811163668872,NA,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Heden,Linear model,36.14716259470322,NA,8.301956676766844,0.008796013626996446,-0.05189825732815293,1.276211951400703,NA,1.826806353479607,0.05320649985841734,0.10730374316790885,NA,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Hyltan,Stationary,26.47825405875716,NA,7.8150198384445,NA,0.13668083974393924,1.0423333518569968,NA,0.8022373989319851,NA,0.09462299645418894,NA,NA,NA,71.99726214921287,1952-10-01,2024-09-30
Hyltan,Exp model,26.319238520588446,NA,1.9309291557092507,0.003626608216754437,0.1104266276211783,1.0647844681674667,NA,0.19084079485382194,0.00487498374258335,0.10402959968724393,NA,FALSE,FALSE,71.99726214921287,1952-10-01,2024-09-30
Hyltan,Linear model,26.33237491267427,NA,6.9231216894435725,0.026370119387118342,0.11249142919237015,1.0616923334883575,NA,1.343588763837833,0.03623449933494683,0.10317433900732953,NA,FALSE,FALSE,71.99726214921287,1952-10-01,2024-09-30
Härnösand,Stationary,37.62624406106157,NA,9.522862584648642,NA,-0.0024773437254771275,1.3590162009303348,NA,0.9979532722414602,NA,0.10212003568036748,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Härnösand,Exp model,37.50818385424868,NA,2.1761286864499763,0.002572001713726981,-0.016287578844421717,1.380502675776226,NA,0.19364159401328276,0.005561697123430689,0.10463469479578072,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Härnösand,Linear model,37.50248187723093,NA,8.753037238749359,0.02601892709260085,-0.017570470664001307,1.382144990722421,NA,1.8269768061885554,0.05618656273175699,0.10557976378589383,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Håvelund,Stationary,31.681233465196566,NA,7.594663424437225,NA,-0.03602892402711816,0.9755002334190283,NA,0.7026501272026956,NA,0.07877854685092801,NA,NA,NA,75.99726214921287,1948-10-01,2024-09-30
Håvelund,Exp model,31.68297803642566,NA,1.968554597362283,0.0016919838141215289,-0.04956871739992399,0.978957418029437,NA,0.16158473340552984,0.003904819669664028,0.08566583605774448,NA,FALSE,FALSE,75.99726214921287,1948-10-01,2024-09-30
Håvelund,Linear model,31.68272175359181,NA,7.185611309096881,0.011865188480891378,-0.04836976785444452,0.978716551643401,NA,1.1656198250073218,0.02880476836393678,0.08490891276752306,NA,FALSE,FALSE,75.99726214921287,1948-10-01,2024-09-30
Höglekardalen,Stationary,41.426860046752516,NA,15.24924365879224,NA,-0.041956995741008654,2.2175185627302136,NA,1.6173527283992344,NA,0.1061631751498081,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Höglekardalen,Exp model,41.25425587727527,NA,2.8284714330772514,-0.003560938332400311,-0.03666934641889695,2.2077287419931784,NA,0.1886363132244426,0.005069424677978757,0.1066574138753388,NA,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Höglekardalen,Linear model,41.262949126094306,NA,16.860613147226367,-0.05381735045123446,-0.037793141756131465,2.2063741742760574,NA,3.0582393367837866,0.07717967109545594,0.10654979436383424,NA,FALSE,FALSE,61.998631074606436,1962-10-01,2024-09-30
Höljes,Stationary,27.591457927983168,NA,7.1164637944358375,NA,0.21523479236349602,0.9957280082573491,NA,0.7922930246287412,NA,0.09509444754706703,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Höljes,Exp model,27.567048696810435,NA,1.927976283578439,0.0010233555931708142,0.21617544142205827,0.9991014568776856,NA,0.17757773383121694,0.0041690571668875935,0.09541189637472955,NA,TRUE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Höljes,Linear model,27.56746631664728,NA,6.879568987432431,0.007079120451209267,0.21609807242490203,0.9993469866994582,NA,1.2251761386155702,0.029212602863913462,0.09538877125461867,NA,TRUE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Jäckvik,Stationary,28.849875432650098,NA,8.10633443701844,NA,0.023960349872956716,1.1256509864998092,NA,0.8126103094129602,NA,0.08479485244427304,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Jäckvik,Exp model,28.65918960408954,NA,1.984670256164613,0.0030744173106129515,0.030355054342127614,1.1696644295296015,NA,0.20817609927695183,0.005260216428365314,0.089385331842932,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Jäckvik,Linear model,28.662228177205147,NA,7.282358621344849,0.023733907178234214,0.030459766588048373,1.1712046087603778,NA,1.55212440549174,0.040620572343964816,0.08935971093038558,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Kilagården,Stationary,26.525330597687745,NA,8.465963062087765,NA,0.0910161167244654,1.2477796596280704,NA,0.9642607810403266,NA,0.12356177747505795,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Kilagården,Exp model,26.444056713965562,NA,2.0549922905106266,0.002367228950385511,0.09319979450223272,1.265559696643909,NA,0.19513263353667756,0.004707805955857354,0.1313875807585887,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Kilagården,Linear model,26.451729310247647,NA,7.845168435718302,0.018337640235064186,0.09291875740180199,1.263569944173426,NA,1.530086334551808,0.03798426682500837,0.1306809403114509,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Klippan,Stationary,29.632296828066554,NA,8.330064755525017,NA,0.21180914340139903,1.0535905003318131,NA,0.839198486049214,NA,0.08818805724494587,NA,NA,NA,78.99794661190965,1945-10-01,2024-09-30
Klippan,Exp model,29.184551053075815,NA,1.8647121453947186,0.005830821804482565,0.2041670111354147,1.0539615348824234,NA,0.18305608698033193,0.0037817701725452865,0.09563557168941986,NA,TRUE,FALSE,78.99794661190965,1945-10-01,2024-09-30
