Station,Model,Scale_Intercept,Scale_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape,Shape_SE,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,8.235262598860382,NA,1.1623504470185086,NA,-0.09037990660951427,0.1055639528411078,FALSE,NA,64.91444216290212,1960-01-01,2024-11-30
Avasjö-Borgafjäll D,Exp model,2.1637675175011735,-0.0016616227057898152,0.2055652583221889,0.004611505137403938,-0.08754067198020785,0.10655981708080631,FALSE,FALSE,64.91444216290212,1960-01-01,2024-11-30
Avasjö-Borgafjäll D,Linear model,8.660899739845958,-0.012654702686436481,1.7205284913438768,0.03644845985465314,-0.08789694384205513,0.10630473942926685,FALSE,FALSE,64.91444216290212,1960-01-01,2024-11-30
Finnbacka D,Stationary,8.358116692129284,NA,1.0949639884503084,NA,0.022479619325196647,0.08793788610055069,FALSE,NA,61.93018480492813,1962-12-26,2024-11-30
Finnbacka D,Exp model,2.2889538699466763,-0.006400884610447158,0.20960252532814355,0.006300688351281948,0.03789243332308949,0.08851071039652686,FALSE,FALSE,61.93018480492813,1962-12-26,2024-11-30
Finnbacka D,Linear model,10.065089073808256,-0.06277386762154602,1.9944524655155877,0.05301385449671557,0.0402065921361498,0.08840897545814995,FALSE,FALSE,61.93018480492813,1962-12-26,2024-11-30
Gendalen,Stationary,8.02272734998913,NA,1.2860210554946174,NA,1.4232312500000008e-7,0.13696523778644995,FALSE,NA,62.16563997262149,1962-10-01,2024-11-30
Gendalen,Exp model,2.2881771152044577,-0.002642724882419106,0.22408551333565913,0.004750675727100186,-0.0830627131578464,0.13215382688103122,FALSE,FALSE,62.16563997262149,1962-10-01,2024-11-30
Gendalen,Linear model,9.810543603420749,-0.023085661582426635,2.1453826518582093,0.042366791524318055,-0.08371964944903443,0.1320314636098628,FALSE,FALSE,62.16563997262149,1962-10-01,2024-11-30
Grönliden,Stationary,6.203623174684978,NA,0.9306071515729392,NA,0.2105619598079056,0.11851381036845553,FALSE,NA,64.91444216290212,1960-01-01,2024-11-30
Grönliden,Exp model,2.312272607519117,-0.012555444959426591,0.26885654357398037,0.005968419287990582,0.16955112524642726,0.1239942321748635,FALSE,TRUE,64.91444216290212,1960-01-01,2024-11-30
Grönliden,Linear model,9.307006039419532,-0.07644888323111017,2.0660512398287736,0.038316498123064896,0.1727724137080377,0.1236050417461672,FALSE,TRUE,64.91444216290212,1960-01-01,2024-11-30
Hallstaberg,Stationary,7.217250919485411,NA,0.9394909268422792,NA,0.20326390293588278,0.09354634764796534,TRUE,NA,65.33333333333333,1959-08-01,2024-11-30
Hallstaberg,Exp model,2.1745354365203444,-0.00568346748241968,0.23391990171566457,0.005584636613919358,0.19450530665111404,0.09260313592693162,TRUE,FALSE,65.33333333333333,1959-08-01,2024-11-30
Hallstaberg,Linear model,8.849525014214146,-0.045147537765222866,1.9630996435952612,0.04290241569294416,0.19301732364637048,0.09256900895829455,TRUE,FALSE,65.33333333333333,1959-08-01,2024-11-30
Hanö A,Stationary,7.148431489905047,NA,0.7056329749794146,NA,0.18430230509886303,0.07687916727761271,TRUE,NA,143.07734428473648,1881-11-01,2024-11-30
Hanö A,Exp model,2.014520979746907,-6.432865302376015e-4,0.16092260481337115,0.001732025501343702,0.18400912523722926,0.07684010254341413,TRUE,FALSE,143.07734428473648,1881-11-01,2024-11-30
Hanö A,Linear model,7.492381020305876,-0.0046084671616515,1.1872399564123135,0.012411514590010189,0.18399766171858087,0.07683298066495302,TRUE,FALSE,143.07734428473648,1881-11-01,2024-11-30
Heden,Stationary,8.592456781137795,NA,1.3094899382405247,NA,-0.017734118495001918,0.11991098169745797,FALSE,NA,62.60643394934976,1962-04-23,2024-11-30
Heden,Exp model,1.9580440723252472,0.005159378920514034,0.2576146031709128,0.005414831193813079,-0.0016010786397542827,0.11919303107483802,FALSE,FALSE,62.60643394934976,1962-04-23,2024-11-30
Heden,Linear model,7.026758146748474,0.04291876909144567,1.9278046426151887,0.04336962804638402,-0.0018768420722652657,0.11932241536583826,FALSE,FALSE,62.60643394934976,1962-04-23,2024-11-30
Hyltan,Stationary,5.277128378997352,NA,0.8244047836051288,NA,0.3197980478296036,0.13228599701410218,TRUE,NA,72.28747433264887,1952-08-17,2024-11-30
Hyltan,Exp model,1.6731120158933934,-2.839296006434409e-4,0.24828840147830253,0.00564959310696861,0.3214608196240972,0.1364996718643386,TRUE,FALSE,72.28747433264887,1952-08-17,2024-11-30
Hyltan,Linear model,5.321585680506006,-0.001296334366220255,1.2623674468293302,0.027693970168909978,0.3212427391973123,0.13588888396888987,TRUE,FALSE,72.28747433264887,1952-08-17,2024-11-30
Härnösand,Stationary,12.49830445632197,NA,1.5978669676598074,NA,-0.14362917475517478,0.08531277647328331,FALSE,NA,64.91444216290212,1960-01-01,2024-11-30
Härnösand,Exp model,2.3583389168966096,0.004877135349865376,0.20630777453134094,0.004804249187430626,-0.1527342526995587,0.08207018151835202,FALSE,FALSE,64.91444216290212,1960-01-01,2024-11-30
