Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,29.869959545946024,NA,7.072756535102022,NA,NA,0.9308859355567083,NA,0.705291144892451,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Avasjö-Borgafjäll D,Exp model,27.790128585608816,0.06627671708277445,1.9236808652236703,5.838858620129743e-4,NA,1.8658486183889642,0.051231426868598766,0.19787280908864838,0.005242511490268428,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Avasjö-Borgafjäll D,Linear model,27.79047500742661,0.06627068090832725,6.845636106740583,0.00406304316725099,NA,1.8653303455752475,0.051214859436562996,1.367768423222104,0.036608248827477444,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Finnbacka D,Stationary,28.331845938827758,NA,7.955522526220208,NA,NA,1.0686052726978312,NA,0.8181210821855196,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Exp model,32.21151824380808,-0.12092018180212774,1.9981999886705535,8.987191582037989e-4,NA,2.0271337318820075,0.05790344551390424,0.21534370131574823,0.006302320848395018,NA,TRUE,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Linear model,32.20042064421365,-0.12055937831257625,7.346200050948855,0.007714108543316923,NA,2.0357518900524045,0.05833016094960525,1.6850090079519056,0.05075826728636949,NA,TRUE,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Stationary,29.176566460200355,NA,7.6315309394278765,NA,NA,1.0199660712590368,NA,0.7810331804479331,NA,NA,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Gendalen,Exp model,26.34276080060368,0.09456897343748577,1.899695591171677,0.0034425078212539364,NA,1.878714033641971,0.05564895006053144,0.20894085102179136,0.005519893663918516,NA,FALSE,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Gendalen,Linear model,26.350311273483857,0.09430422951457608,6.679150102109469,0.024952133409074956,NA,1.8785046841006003,0.055512810937694966,1.4514885673901905,0.040288507929897716,NA,FALSE,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Grönliden,Stationary,28.120869884730396,NA,7.873461117874511,NA,NA,1.0314875046315488,NA,0.7917065065493281,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
