Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,29.869959545946024,NA,7.072756535102022,NA,NA,0.9308859355567083,NA,0.705291144892451,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Avasjö-Borgafjäll D,Exp model,29.873518628943994,NA,1.9590210025282826,-8.669017071788633e-5,NA,0.9568411480179404,NA,0.199235912309156,0.005388606738551826,NA,NA,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Avasjö-Borgafjäll D,Linear model,29.873439868864622,NA,7.092332520093972,-6.109766716496533e-4,NA,0.9569920092227733,NA,1.408850430266564,0.03804203111518712,NA,NA,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Finnbacka D,Stationary,28.331845938827758,NA,7.955522526220208,NA,NA,1.0686052726978312,NA,0.8181210821855196,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Exp model,28.739021439055342,NA,1.9039989041407732,0.005363895419177205,NA,1.1505977436572263,NA,0.21921871845192364,0.0063082667950126545,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Linear model,28.768996374111744,NA,6.535161553891391,0.04617829659027194,NA,1.148207246933549,NA,1.6195372319719892,0.05134797322763019,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Stationary,29.176566460200355,NA,7.6315309394278765,NA,NA,1.0199660712590368,NA,0.7810331804479331,NA,NA,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Gendalen,Exp model,29.168392987252048,NA,2.027924682031886,1.3576429435247666e-4,NA,1.0673143447245679,NA,0.19802692986430873,0.005286567389019639,NA,NA,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Gendalen,Linear model,29.168800710867146,NA,7.599716130094855,9.9200788983962e-4,NA,1.0657716962437558,NA,1.4854976030281877,0.03954149382262634,NA,NA,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Grönliden,Stationary,28.120869884730396,NA,7.873461117874511,NA,NA,1.0314875046315488,NA,0.7917065065493281,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Grönliden,Exp model,28.133686840830073,NA,2.0389608471803595,7.2749268995658e-4,NA,1.0338902753034211,NA,0.2021441854758457,0.005226437766738102,NA,NA,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Grönliden,Linear model,28.134024811582243,NA,7.67795245140123,0.005819540340779601,NA,1.033761318393339,NA,1.5834232602173721,0.0415578051077875,NA,NA,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Hallstaberg,Stationary,28.262198869440223,NA,9.368969732329147,NA,NA,1.2067356376747411,NA,0.9693770453312002,NA,NA,NA,NA,NA,64.99931553730322,1959-10-01,2024-09-30
Hallstaberg,Exp model,28.205457057663295,NA,2.415337318141917,-0.005617200364872991,NA,1.18950672393812,NA,0.21519394138654385,0.005705634393606196,NA,NA,NA,FALSE,64.99931553730322,1959-10-01,2024-09-30
Hallstaberg,Linear model,28.186999212138193,NA,11.350169387434248,-0.06022597060827452,NA,1.1874662307177286,NA,2.3320510708882214,0.05719854697878217,NA,NA,NA,FALSE,64.99931553730322,1959-10-01,2024-09-30
Hanö A,Stationary,24.78890468737777,NA,8.62378941572582,NA,NA,0.7561165609128102,NA,0.5946203594072896,NA,NA,NA,NA,NA,141.9958932238193,1882-10-01,2024-09-30
Hanö A,Exp model,24.790670727307123,NA,2.1604089203044397,-8.287811840355015e-5,NA,0.7567120810712427,NA,0.13684672913451135,0.0016586381337278864,NA,NA,NA,FALSE,141.9958932238193,1882-10-01,2024-09-30
Hanö A,Linear model,24.790756636220703,NA,8.676527544077233,-7.420513896803939e-4,NA,0.7569144309899926,NA,1.2036985447673538,0.01466132033471613,NA,NA,NA,FALSE,141.9958932238193,1882-10-01,2024-09-30
Heden,Stationary,35.964070527688996,NA,8.429676903096858,NA,NA,1.1287000038338717,NA,0.8375650337050923,NA,NA,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Heden,Exp model,35.931808427812676,NA,2.1119510004637796,6.386923930224564e-4,NA,1.1697212260409438,NA,0.21369228596101725,0.006123269065436629,NA,NA,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Heden,Linear model,35.928420977894596,NA,8.245455757007619,0.0059610538129339355,NA,1.1738491511222644,NA,1.8558012452629866,0.054297342639530365,NA,NA,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Hyltan,Stationary,27.068020750909046,NA,8.291752416450644,NA,NA,1.0237589699745702,NA,0.795430783669979,NA,NA,NA,NA,NA,71.99726214921287,1952-10-01,2024-09-30
Hyltan,Exp model,26.60524541047457,NA,1.896057736629213,0.00595976609577984,NA,1.0639007714311297,NA,0.18344186761654366,0.0045010388667501575,NA,NA,NA,FALSE,71.99726214921287,1952-10-01,2024-09-30
Hyltan,Linear model,26.64319680127823,NA,6.6770252910530665,0.045345322366140334,NA,1.0586819523198778,NA,1.2894669547004731,0.03492239926193937,NA,NA,NA,FALSE,71.99726214921287,1952-10-01,2024-09-30
Härnösand,Stationary,37.61346294107894,NA,9.514629803510642,NA,NA,1.2525862080128836,NA,0.9370675499420602,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Härnösand,Exp model,37.44396580430483,NA,2.178425039390428,0.002317001130793529,NA,1.3098314877705388,NA,0.1924976497285038,0.005267120765332875,NA,NA,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Härnösand,Linear model,37.43629204594582,NA,8.789066039668462,0.022910171543053155,NA,1.3150190803364317,NA,1.796418519716051,0.05164868885181494,NA,NA,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Håvelund,Stationary,31.532108737930614,NA,7.510017430314564,NA,NA,0.9086918413210668,NA,0.6689613010541364,NA,NA,NA,NA,NA,75.99726214921287,1948-10-01,2024-09-30
Håvelund,Exp model,31.502664000121733,NA,1.979716204435353,9.725062087839919e-4,NA,0.9158042894001436,NA,0.16119772728314527,0.003619580732976566,NA,NA,NA,FALSE,75.99726214921287,1948-10-01,2024-09-30
Håvelund,Linear model,31.50470800184989,NA,7.255744009096442,0.0068083756659313875,NA,0.9154922690768117,NA,1.1629021893738272,0.026377910370966984,NA,NA,NA,FALSE,75.99726214921287,1948-10-01,2024-09-30
Höglekardalen,Stationary,41.086959535396886,NA,15.03950975194287,NA,NA,2.013609799900255,NA,1.4960326168911595,NA,NA,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Höglekardalen,Exp model,40.957428060101826,NA,2.8176324304357263,-0.003610288253638161,NA,2.003871292972817,NA,0.18336360522781942,0.0049856143660458865,NA,NA,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
