Station,Model,b0_Estimate,b0_SE,b1_Estimate,b1_SE,b1_Significant,start_date,end_date,num_days
Avasjö-Borgafjäll D,Poisson Process,-5.628429568039662,0.20205349810431011,2.2775302295162167e-5,1.3843769441053625e-5,FALSE,1960-01-01,2024-11-30,23710
Finnbacka D,Poisson Process,-5.184491035599819,0.1858462525356299,-1.63008574235937e-5,1.4924479574807297e-5,FALSE,1962-12-26,2024-11-30,22620
Gendalen,Poisson Process,-5.674436963004721,0.20762212318275788,2.949983933478301e-5,1.4642301048299226e-5,TRUE,1962-10-01,2024-11-30,22706
Grönliden,Poisson Process,-5.806461162100429,0.21148291244556972,3.623632599655294e-5,1.3996872152497974e-5,TRUE,1960-01-01,2024-11-30,23710
Hallstaberg,Poisson Process,-5.450948158971568,0.1911840842882123,1.0910165919054167e-5,1.3442787425182171e-5,FALSE,1959-08-01,2024-11-30,23863
Hanö A,Poisson Process,-5.439798865699276,0.12936188553466882,3.959413682881902e-6,4.18009009745335e-6,FALSE,1881-11-01,2024-11-30,52259
Heden,Poisson Process,-5.523317855518088,0.1985366641854972,1.802938438959972e-5,1.4310811329568436e-5,FALSE,1962-04-23,2024-11-30,22867
Hyltan,Poisson Process,-5.667936403403655,0.19188392490290923,2.5414382568519914e-5,1.1636063638187388e-5,TRUE,1952-08-17,2024-11-30,26403
Härnösand,Poisson Process,-5.656001037418324,0.20574727349146918,2.1402789104314575e-5,1.4148634742832077e-5,FALSE,1960-01-01,2024-11-30,23710
Håvelund,Poisson Process,-5.809836302858276,0.19448079029204632,3.096487839429311e-5,1.0866441771121892e-5,TRUE,1948-02-06,2024-11-30,28057
Höglekardalen,Poisson Process,-5.399619079154266,0.19625592913022644,2.5961963213965305e-7,1.480166495098462e-5,FALSE,1962-02-01,2024-11-30,22948
Höljes,Poisson Process,-5.520669213493883,0.19658757558846307,1.4304034636964735e-5,1.378314593261431e-5,FALSE,1960-01-01,2024-11-30,23710
Jäckvik,Poisson Process,-5.585944589134217,0.19901855511469327,2.0837760186929448e-5,1.3706696428932713e-5,FALSE,1960-01-01,2024-11-30,23710
Kilagården,Poisson Process,-5.693659344511551,0.2063485940783726,2.6419073025228587e-5,1.4002815196513446e-5,FALSE,1960-01-01,2024-11-30,23710
Klippan,Poisson Process,-5.625821693619357,0.18434336244793728,1.5012238226988005e-5,1.037918711924839e-5,FALSE,1945-01-01,2024-11-30,29188
Kristinehamn,Poisson Process,-5.607334772267575,0.20010737964906486,2.2500304178891396e-5,1.3720478989152037e-5,FALSE,1960-01-01,2024-11-30,23710
Ljusnedal,Poisson Process,-5.368981223722776,0.15629505601310176,1.5734090048698576e-6,7.756040994752948e-6,FALSE,1930-01-01,2024-11-30,34667
Lund,Poisson Process,-5.783134245781989,0.21060946629993899,3.688255757416351e-5,1.415490498552287e-5,TRUE,1961-01-01,2024-11-30,23344
Mariestad,Poisson Process,-5.7965960235900065,0.20801330152523634,3.570089994856402e-5,1.3464732184823554e-5,TRUE,1958-08-01,2024-11-30,24228
Mångsbodarna,Poisson Process,-5.694521441315256,0.2046190466428937,2.9177197713682827e-5,1.3786439968786468e-5,TRUE,1960-01-01,2024-11-30,23710
Ockelbo,Poisson Process,-5.549808198124332,0.17821865474374837,1.391278302524034e-5,1.0071478376939018e-5,FALSE,1945-01-01,2024-11-30,29188
Prästkulla,Poisson Process,-5.465562941878302,0.1741459967316414,8.905137043237361e-6,1.001139955542915e-5,FALSE,1945-01-01,2024-11-30,29188
Ramsjöholm,Poisson Process,-5.705708597030355,0.2056437749794705,2.9362834175331936e-5,1.3848861783547534e-5,TRUE,1960-01-01,2024-11-30,23710
Saittarova D,Poisson Process,-5.828837675458597,0.21362755220726012,3.657012775904942e-5,1.4127123433673524e-5,TRUE,1960-01-01,2024-11-30,23710
Sjögärde,Poisson Process,-5.506480935966224,0.19547343714079107,1.3905952462109669e-5,1.372500957171948e-5,FALSE,1960-01-09,2024-11-30,23702
Säffle,Poisson Process,-5.665766550720694,0.19191017161423432,2.3096610848199216e-5,1.1565959019194046e-5,TRUE,1951-10-01,2024-11-30,26724
Sörbytorp,Poisson Process,-5.38480584304338,0.17003994128210284,4.480654301993115e-6,9.928623787418145e-6,FALSE,1945-01-01,2024-11-30,29188
Traneberg,Poisson Process,-5.451683832789989,0.19234890496785154,1.0164692749877312e-5,1.3643380164954846e-5,FALSE,1960-01-01,2024-11-30,23710
Ungsberg,Poisson Process,-5.506004404258525,0.19585802742940275,1.3130517777570647e-5,1.3776930290713812e-5,FALSE,1960-01-01,2024-11-30,23710
Uppsala,Poisson Process,-5.237008838608407,0.10715601093743463,-3.0310423064730796e-6,2.7624590813442367e-6,FALSE,1836-01-01,2024-11-30,69000
Ytterberg D,Poisson Process,-5.589496525398185,0.20005746061076016,1.974475258353361e-5,1.3818905086799304e-5,FALSE,1960-01-01,2024-11-30,23710
Åby,Poisson Process,-5.6768428734326575,0.20283992310855603,2.9144145790853837e-5,1.3667733172372224e-5,TRUE,1960-01-01,2024-11-30,23710
Åkroken D,Poisson Process,-5.519733710302808,0.19152764093890343,1.2155784957427254e-5,1.269784036009397e-5,FALSE,1955-12-31,2024-11-30,25172
Åtorp,Poisson Process,-5.234554191199837,0.1836899161344641,-8.378127633227365e-6,1.3972452067465731e-5,FALSE,1961-01-01,2024-11-30,23344
