Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,29.585142327066684,NA,7.045151896708793,NA,0.04305253726054429,1.0671292549162708,NA,0.8130339954752044,NA,0.12865732845426295,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Avasjö-Borgafjäll D,Exp model,26.904856856430822,0.08816978367174008,1.895216598814458,8.108332732162574e-4,0.06136662799433848,1.9023371723603235,0.0531906285481971,0.23210272168117718,0.006001315325721313,0.1281357269897913,FALSE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Avasjö-Borgafjäll D,Linear model,26.90769910215716,0.08810011980653377,6.659040487204671,0.005340815555237255,0.06120707778385663,1.8984071508232074,0.053085147920947755,1.5441090234451817,0.04023886031518035,0.1279764786452748,FALSE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Stationary,27.81925752916842,NA,7.546894453993824,NA,0.11901230803400374,1.113260905916035,NA,0.8557877070876494,NA,0.11038091632697039,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Exp model,31.719535142419577,-0.12518837206351321,2.00309424630143,-0.0016214781178169326,0.1537318739058035,2.020419970832215,0.0549870149601674,0.22629356272779666,0.0068328167474348825,0.11427569807014716,TRUE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Linear model,31.740043235195134,-0.1259058177551461,7.4385929833489435,-0.012567740091298204,0.1543410420022179,2.0343155256329237,0.05550539318359874,1.6936127444804898,0.050332853534500545,0.11471720084318461,TRUE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Stationary,29.235272464459936,NA,7.488968764557476,NA,0.04075345791742205,1.1383632741163303,NA,0.8681437803640724,NA,0.13124372571481757,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Exp model,26.827082183212323,0.07887871669304443,1.8596532715422098,0.0042111235847155735,0.05868904297536946,1.9530770123343464,0.05673712050014606,0.2589004180672133,0.006486915449872906,0.13438348572046974,FALSE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Linear model,26.86051699065412,0.0781621796758157,6.4450038554254565,0.029107555622276213,0.05576223783316673,1.9368107208297076,0.05639322720591911,1.7014151837720148,0.04468854126524413,0.1318495893265866,FALSE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Stationary,27.624072709436827,NA,7.585344423404795,NA,0.12608102020495965,1.1014134755679799,NA,0.8425634375990468,NA,0.10174252952454912,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Exp model,28.350502165234996,-0.025210945351378248,1.9854815207549075,9.793683785452852e-4,0.13925707814975985,2.099660334804701,0.058877264444773966,0.2409733698616382,0.006500934848949178,0.10885201766673355,FALSE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Linear model,28.350619907011215,-0.02521703620678217,7.279677059103201,0.007369944486188146,0.13926623774656013,2.095142316396359,0.05868425984533881,1.784111480924258,0.048871560390919416,0.10878041443546037,FALSE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Stationary,26.82252014090265,NA,7.878278195677198,NA,0.2503576481964185,1.1467385159650403,NA,0.9351687678461029,NA,0.1067864153139397,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Exp model,26.69237024089027,0.0031261967114331922,2.2078226173864097,-0.005216550273654424,0.26303287451856644,2.3802538336265955,0.06140128697457869,0.23902646908645225,0.006668607710513209,0.11142105810935872,FALSE,TRUE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Linear model,26.743729353514247,0.0016715162361453863,9.090347548468877,-0.04236685362881603,0.26168912743513495,2.403604646214122,0.061829799295909336,2.0654732422105644,0.05364488143303287,0.1112375784733604,FALSE,TRUE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Stationary,23.638158811876014,NA,7.5735416713880195,NA,0.1781154368293742,1.1058262092159992,NA,0.8688779753521352,NA,0.10700958435347478,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Exp model,21.216199853005175,0.08213417911560264,1.8499150967831117,0.005234769949576231,0.17505088516103284,1.9470991951661585,0.06003596746825237,0.24553814151021214,0.007140448692070712,0.10830185283404457,FALSE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Linear model,21.127887495281794,0.08495341785833546,6.1914759792055065,0.04268976496439103,0.17479250024057022,1.9706545993570188,0.060939233764276624,1.732880360601304,0.05517958605203129,0.10872333533365176,FALSE,FALSE,FALSE,60.99931553730322,1963-10-01,2024-09-30
Heden,Stationary,36.03317872066488,NA,8.373031787033542,NA,-0.06785317571525855,1.2256410324615485,NA,0.8898173112029389,NA,0.1065383193545816,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
