Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,29.585142327066684,NA,7.045151896708793,NA,0.04305253726054429,1.0671292549162708,NA,0.8130339954752044,NA,0.12865732845426295,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Avasjö-Borgafjäll D,Exp model,26.980731156977246,0.08619579545421366,6.838297150568136,NA,0.05701437113130518,1.830435619998923,0.05126896341374763,0.7829892064408353,NA,0.12429433238487984,FALSE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
Avasjö-Borgafjäll D,Linear model,26.98231446655897,0.08616282374691603,6.838554665676123,NA,0.05697956875034528,1.8304904672948925,0.051269018571794105,0.7830237923033972,NA,0.12429510779223946,FALSE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Stationary,27.81925752916842,NA,7.546894453993824,NA,0.11901230803400374,1.113260905916035,NA,0.8557877070876494,NA,0.11038091632697039,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Exp model,31.53787669931974,-0.11853737484395192,7.0791057541372115,NA,0.14763888334339265,1.8422979057990123,0.047470591764668245,0.8100282062606646,NA,0.11026800715183004,TRUE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Linear model,31.53790507173577,-0.11853909076378623,7.079084913068793,NA,0.14763843719980094,1.842296568609239,0.04747057952332892,0.8100240215997523,NA,0.11026741773339009,TRUE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Stationary,29.235272464459936,NA,7.488968764557476,NA,0.04075345791742205,1.1383632741163303,NA,0.8681437803640724,NA,0.13124372571481757,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Exp model,27.337099487370313,0.06702928736012721,7.486498884451572,NA,0.02032360122560402,1.9281886326045388,0.05603925991247454,0.8325868670579486,NA,0.11760973133056206,FALSE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Linear model,27.337540497214654,0.06700915339338807,7.486222661841337,NA,0.02036942937081857,1.9280533615448572,0.05603570613279058,0.8325220885860806,NA,0.11761279378463114,FALSE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Stationary,27.624072709436827,NA,7.585344423404795,NA,0.12608102020495965,1.1014134755679799,NA,0.8425634375990468,NA,0.10174252952454912,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Exp model,28.50510026939404,-0.029789027751719176,7.520878721112742,NA,0.13555293700177917,1.8540682673810291,0.050377784419289445,0.8477783642987409,NA,0.1063282366143484,FALSE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Linear model,28.505127038816358,-0.029789595885893062,7.520886144689243,NA,0.13555270399007324,1.8540698254712331,0.05037781193809243,0.8477798075940813,NA,0.1063283183669131,FALSE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Stationary,26.82252014090265,NA,7.878278195677198,NA,0.2503576481964185,1.1467385159650403,NA,0.9351687678461029,NA,0.1067864153139397,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Exp model,25.672862185325194,0.03492819341696656,7.768214406347087,NA,0.26702821511669833,1.8812006780147468,0.04597961128292183,0.9417407481549338,NA,0.11320898544587686,FALSE,TRUE,NA,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Linear model,25.672858285678668,0.034928712726112136,7.768209279662058,NA,0.26703457230929545,1.8811894974545187,0.045979051273760625,0.9417400440214326,NA,0.1132105415886135,FALSE,TRUE,NA,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Stationary,23.638158811876014,NA,7.5735416713880195,NA,0.1781154368293742,1.1058262092159992,NA,0.8688779753521352,NA,0.10700958435347478,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Exp model,22.034838574188644,0.053978702433334004,7.480104856133081,NA,0.17998392613865985,1.7423293619160656,0.04629464556537822,0.8577289966504723,NA,0.1063906615613204,FALSE,FALSE,NA,60.99931553730322,1963-10-01,2024-09-30
