Station,Model,b0_Estimate,b0_SE,b1_Estimate,b1_SE,b1_Significant,start_date,end_date,num_days
Avasjö-Borgafjäll D,Poisson Process,-5.634342946851669,0.20817805003964848,2.326327057635243e-5,1.5016788467106775e-5,FALSE,1963-10-01,2024-09-30,22280
Finnbacka D,Poisson Process,-5.188994413888411,0.18617430280182215,-1.5665516538739814e-5,1.496071163275006e-5,FALSE,1963-10-01,2024-09-30,22280
Gendalen,Poisson Process,-5.709446052824094,0.2117275049578205,3.0075134561912563e-5,1.5014968016603738e-5,TRUE,1963-10-01,2024-09-30,22280
Grönliden,Poisson Process,-5.790303542396938,0.21567590675349296,3.717884220666482e-5,1.5034872947584802e-5,TRUE,1963-10-01,2024-09-30,22280
Hallstaberg,Poisson Process,-5.411401120361084,0.19450644292670963,8.46478870055718e-6,1.4587664668601438e-5,FALSE,1963-10-01,2024-09-30,22280
Hanö A,Poisson Process,-5.573941366692298,0.2045272066788228,1.9073000530506783e-5,1.4912978705841356e-5,FALSE,1963-10-01,2024-09-30,22280
Heden,Poisson Process,-5.548474041227673,0.2018310563414982,1.9253673407176308e-5,1.4709502392096158e-5,FALSE,1963-10-01,2024-09-30,22280
Hyltan,Poisson Process,-5.550754080038445,0.2019482028055223,1.9442139554448958e-5,1.4710860298302241e-5,FALSE,1963-10-01,2024-09-30,22280
Härnösand,Poisson Process,-5.649773363561013,0.20948492235423583,2.374830033544543e-5,1.509246584984156e-5,FALSE,1963-10-01,2024-09-30,22280
Håvelund,Poisson Process,-5.842487154654448,0.21761702130595134,4.262553910822546e-5,1.4978257469164208e-5,TRUE,1963-10-01,2024-09-30,22280
Höglekardalen,Poisson Process,-5.3860112928376385,0.196902059741163,-2.832708468116764e-7,1.512980620053282e-5,FALSE,1963-10-01,2024-09-30,22280
Höljes,Poisson Process,-5.496167383036495,0.20006974069216502,1.3350483556162759e-5,1.4808924576074973e-5,FALSE,1963-10-01,2024-09-30,22280
Jäckvik,Poisson Process,-5.566972414172435,0.2032387181771004,2.002707253800436e-5,1.47825047503935e-5,FALSE,1963-10-01,2024-09-30,22280
Kilagården,Poisson Process,-5.627331567140446,0.2068572163271298,2.4214385645136744e-5,1.4885570086015264e-5,FALSE,1963-10-01,2024-09-30,22280
Klippan,Poisson Process,-5.51108049193992,0.20128834547057897,1.382386903155999e-5,1.4880383946262971e-5,FALSE,1963-10-01,2024-09-30,22280
Kristinehamn,Poisson Process,-5.61999244221424,0.20694090703149948,2.2858414588989994e-5,1.4942929298130454e-5,FALSE,1963-10-01,2024-09-30,22280
Ljusnedal,Poisson Process,-5.417608542414314,0.19613919936413654,6.6378780462600465e-6,1.4783696194760543e-5,FALSE,1963-10-01,2024-09-30,22280
Lund,Poisson Process,-5.649785411572735,0.20711649232353133,2.7512821414675895e-5,1.4781365439869546e-5,FALSE,1963-10-01,2024-09-30,22280
Mariestad,Poisson Process,-5.672765781956964,0.20787872111777325,3.007680812791701e-5,1.4741965195654785e-5,TRUE,1963-10-01,2024-09-30,22280
Mångsbodarna,Poisson Process,-5.777544692182191,0.21448907974689826,3.690274943282602e-5,1.4961936739578417e-5,TRUE,1963-10-01,2024-09-30,22280
Ockelbo,Poisson Process,-5.410222506058388,0.19444863473865245,8.363499891357976e-6,1.4587348613153606e-5,FALSE,1963-10-01,2024-09-30,22280
Prästkulla,Poisson Process,-5.513838324249907,0.2000618669370399,1.6375263236330972e-5,1.4690413668886709e-5,FALSE,1963-10-01,2024-09-30,22280
Ramsjöholm,Poisson Process,-5.8419190791749,0.22056933194943315,3.825772674914596e-5,1.533682327528987e-5,TRUE,1963-10-01,2024-09-30,22280
Saittarova D,Poisson Process,-5.905368035783558,0.22265630694035757,4.531191300836988e-5,1.5231198505250715e-5,TRUE,1963-10-01,2024-09-30,22280
Sjögärde,Poisson Process,-5.623939995037342,0.2062126456026626,2.4687504532837715e-5,1.4821456920754494e-5,FALSE,1963-10-01,2024-09-30,22280
Säffle,Poisson Process,-5.743650625943753,0.21359167354713093,3.278946743919731e-5,1.504712341181026e-5,TRUE,1963-10-01,2024-09-30,22280
Sörbytorp,Poisson Process,-5.688213161698865,0.2110629680879615,2.7624318565187594e-5,1.5058835986517754e-5,FALSE,1963-10-01,2024-09-30,22280
Traneberg,Poisson Process,-5.459928198207894,0.19734676413050578,1.183610758233417e-5,1.466657128934818e-5,FALSE,1963-10-01,2024-09-30,22280
Ungsberg,Poisson Process,-5.512162613042662,0.20088246438055463,1.469765014929394e-5,1.4816024447115973e-5,FALSE,1963-10-01,2024-09-30,22280
Uppsala,Poisson Process,-5.700779447174505,0.2122332643577946,2.7872258236564765e-5,1.5133001375739455e-5,FALSE,1963-10-01,2024-09-30,22280
Ytterberg D,Poisson Process,-5.606577439592908,0.20530076902290462,2.327489487969537e-5,1.4808800206833514e-5,FALSE,1963-10-01,2024-09-30,22280
Åby,Poisson Process,-5.644050466986607,0.20635633922924176,2.7779182061267933e-5,1.471735972046257e-5,FALSE,1963-10-01,2024-09-30,22280
Åkroken D,Poisson Process,-5.649699833095664,0.2099723944213172,2.2962073044074185e-5,1.515782868136287e-5,FALSE,1963-10-01,2024-09-30,22280
Åtorp,Poisson Process,-5.222161021962983,0.18637316318696567,-9.976838587774116e-6,1.4726098069884654e-5,FALSE,1963-10-01,2024-09-30,22280
