Station,Model,Scale_Intercept,Scale_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape,Shape_SE,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,7.588679245283019,NA,0.7370776467589185,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Avasjö-Borgafjäll D,Exp model,2.0555258914788053,-8.144917592052891e-4,0.21013154738370468,0.005538729318326506,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Avasjö-Borgafjäll D,Linear model,7.734856290962296,-0.004357020985558188,1.5380206813775203,0.039790307427546294,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Finnbacka D,Stationary,8.448443396227361,NA,0.8205853264366747,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Finnbacka D,Exp model,2.2993734009729514,-0.005841546664301047,0.20024629656904147,0.006022956178345491,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Finnbacka D,Linear model,10.20072603000239,-0.059561352066597795,1.945362684210606,0.05371676739030415,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Gendalen,Stationary,8.5607476635514,NA,0.8275986810617646,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Gendalen,Exp model,2.2485995336856717,-0.002997796360360777,0.2032901024487484,0.0052046975286614595,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Gendalen,Linear model,9.413879375655883,-0.024864797575872996,1.8046051866012314,0.044202519188879984,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Grönliden,Stationary,7.552777777777776,NA,0.726766342044877,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Grönliden,Exp model,2.425072786764973,-0.012094505242517026,0.21913893336419074,0.005599413157758833,NA,NA,NA,TRUE,61.76317590691308,1962-12-26,2024-09-30
Grönliden,Linear model,10.652325240602059,-0.08847184270814137,1.872883895287992,0.041559315524795866,NA,NA,NA,TRUE,61.76317590691308,1962-12-26,2024-09-30
Hallstaberg,Stationary,8.873414414414793,NA,0.8422271930874681,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Hallstaberg,Exp model,2.285358117495957,-0.0032569082115497514,0.2044552735738623,0.005681428225117259,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hallstaberg,Linear model,10.115181190193525,-0.03860227784513505,2.1546621409005806,0.057890046663044224,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hanö A,Stationary,8.18884579439271,NA,0.7916455712736832,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Hanö A,Exp model,1.9108954549758077,0.005673084831769358,0.2201227084813279,0.005974627377373033,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hanö A,Linear model,6.514087307733927,0.05089842690481057,1.6314053341097146,0.0485136630155481,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Heden,Stationary,8.593636363636364,NA,0.819371041834412,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Heden,Exp model,1.9885985568471218,0.004801934569162877,0.20544769312019695,0.005494489552171763,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Heden,Linear model,7.237138198972396,0.04099327514755701,1.5943215822658432,0.045654453820297744,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
